Date,Total_Value,Cash,Equity_Shares,Equity_Price,Oil_Shares,Oil_Price,Gold_Shares,Gold_Price,Bond_Shares,Bond_Price
2020-01-01,999715.0664857529,50000.0,5176.735085841321,100.8773015860986,787.7440963346248,60.29876989369723,64.8214556327319,1465.5641264561375,2832.4491675761105,100.61963450658882
2020-01-02,996647.7415682999,50000.0,5176.735085841321,99.81456438042828,787.7440963346248,60.215455830964835,64.8214556327319,1438.9041751734774,2832.4491675761105,102.11231833684673
2020-01-03,1002716.6552870942,50000.0,5176.735085841321,100.49618200473472,787.7440963346248,60.606730188299146,64.8214556327319,1464.9863030584688,2832.4491675761105,102.30347950350632
2020-01-04,1008685.3251225611,50000.0,5176.735085841321,101.04417212526542,787.7440963346248,61.53685383510561,64.8214556327319,1465.2297366842697,2832.4491675761105,103.14493891802896
2020-01-05,1013903.7391156994,50000.0,5176.735085841321,102.25540487822596,787.7440963346248,61.3929317800843,64.8214556327319,1448.825021522235,2832.4491675761105,103.18904709494402
2020-01-06,1008946.091629998,50000.0,5176.735085841321,101.52723441065544,787.7440963346248,61.24935638495322,64.8214556327319,1458.7500432450358,2832.4491675761105,102.5823793450718
2020-01-07,1015692.5889504266,50000.0,5176.735085841321,101.93897418751808,787.7440963346248,62.22429196257155,64.8214556327319,1470.0706595027218,2832.4491675761105,103.68150268923874
2020-01-08,1011859.7635851202,50000.0,5176.735085841321,102.0630925253024,787.7440963346248,62.70365985418256,64.8214556327319,1450.6092068796447,2832.4491675761105,102.41353548288714
2020-01-09,1011681.4398167557,50000.0,5176.735085841321,102.19020612867573,787.7440963346248,62.4099721657806,64.8214556327319,1442.900259414845,2832.4491675761105,102.37635872389323
2020-01-10,1011027.4541223375,50000.0,5176.735085841321,102.17077553518428,787.7440963346248,62.7495039870606,64.8214556327319,1455.599168837169,2832.4491675761105,101.79593360643436
2020-01-11,1016941.3256455677,50000.0,5176.735085841321,103.03459770612322,787.7440963346248,62.45938443530642,64.8214556327319,1443.756732212662,2832.4491675761105,102.65677056523285
2020-01-12,1018159.1950080413,50000.0,5176.735085841321,103.79216415706568,787.7440963346248,62.16916883287405,64.8214556327319,1447.8362429281062,2832.4491675761105,101.68952437748035
2020-01-13,1018435.9078113997,50000.0,5176.735085841321,103.78954869529768,787.7440963346248,62.31977689986699,64.8214556327319,1468.612852503212,2832.4491675761105,101.27463314172604
2020-01-14,1012918.3603431379,50000.0,5176.735085841321,103.31383490373334,787.7440963346248,61.13875903778408,64.8214556327319,1433.8934965284182,2832.4491675761105,101.31911614612696
2020-01-15,1013016.4227423775,50000.0,5176.735085841321,102.72213467268683,787.7440963346248,60.093209043487995,64.8214556327319,1429.008698456517,2832.4491675761105,102.83773238530254
2020-01-16,1011635.0885058141,50000.0,5176.735085841321,102.75853366986728,787.7440963346248,59.75626062036407,64.8214556327319,1432.7523949275906,2832.4491675761105,102.29156020905208
2020-01-17,1009533.3218965497,50000.0,5176.735085841321,102.98672830588784,787.7440963346248,59.15408527382888,64.8214556327319,1407.305456293507,2832.4491675761105,101.8823023401473
2020-01-18,1004846.2631155944,50000.0,5176.735085841321,102.89257898016622,787.7440963346248,59.340267792507554,64.8214556327319,1399.871908135386,2832.4491675761105,100.5179412510848
2020-01-19,995755.0290950742,50000.0,5176.735085841321,101.57196471698197,787.7440963346248,58.803882812293,64.8214556327319,1414.570179227947,2832.4491675761105,99.53469569551044
2020-01-20,994029.0860495843,50000.0,5176.735085841321,101.26298778660365,787.7440963346248,57.97923040411192,64.8214556327319,1404.6421505119083,2832.4491675761105,99.94660529766
2020-01-21,990696.9530433404,50000.0,5176.735085841321,100.73065391984524,787.7440963346248,58.83526015170993,64.8214556327319,1383.9466501063432,2832.4491675761105,99.97866182372395
2020-01-22,991825.1709729969,50000.0,5143.933157260485,100.74584473907991,802.55098106767,58.70257392135278,67.02406807008582,1399.6855819446105,2825.9520953540127,100.02676627654006
2020-01-23,1010551.1422324025,50000.0,5143.933157260485,103.33359465222917,802.55098106767,58.742228102999064,67.02406807008582,1405.9210561879652,2825.9520953540127,101.78369886365022
2020-01-24,1007340.6587596927,50000.0,5143.933157260485,103.77904542098348,802.55098106767,57.91123312348552,67.02406807008582,1404.9533242975722,2825.9520953540127,100.09574552017057
2020-01-25,1020409.5861775742,50000.0,5143.933157260485,105.09728966183296,802.55098106767,57.59683092687242,67.02406807008582,1403.5716448930527,2825.9520953540127,102.4428825203746
2020-01-26,1021178.8534157213,50000.0,5143.933157260485,104.3807899016913,802.55098106767,57.66075426948667,67.02406807008582,1418.078785450984,2825.9520953540127,103.65708031217896
2020-01-27,1020094.3644543835,50000.0,5143.933157260485,104.40363852963186,802.55098106767,57.0008874881255,67.02406807008582,1422.2615858874071,2825.9520953540127,103.3199223164066
2020-01-28,1028667.7784797933,50000.0,5143.933157260485,105.69433377949326,802.55098106767,57.215441478034734,67.02406807008582,1431.4735843305657,2825.9520953540127,103.72493548340312
2020-01-29,1017210.8015890258,50000.0,5143.933157260485,104.0370266758247,802.55098106767,56.872813408357395,67.02406807008582,1421.5939304060748,2825.9520953540127,103.01906759515468
2020-01-30,1014951.5580901308,50000.0,5143.933157260485,103.79447202361472,802.55098106767,56.70716068309161,67.02406807008582,1394.5965726424922,2825.9520953540127,103.34846416285431
